epoch           num_updates     train_loss      validation_loss timestamp       
188             18834           1702.4883       1598.0551       2020-03-06 04:08:50.728472
189             18935           2141.8774       1939.9081       2020-03-06 04:11:18.932120
190             19035           2316.2695       2162.29         2020-03-06 04:13:47.130364
191             19136           1936.4855       1791.4807       2020-03-06 04:16:24.235283
192             19236           2117.8264       1915.7567       2020-03-06 04:18:53.252293
193             19335           2180.9001       1972.9231       2020-03-06 04:21:20.023680
194             19435           2012.2893       1836.7151       2020-03-06 04:23:45.750942
195             19536           2064.0977       1901.0104       2020-03-06 04:26:15.622425
196             19635           2099.2468       1921.6234       2020-03-06 04:28:49.643616
197             19734           2375.7131       2102.4514       2020-03-06 04:31:22.918229
198             19834           2291.4331       2075.1648       2020-03-06 04:33:57.710687
199             19936           2238.6917       2028.2512       2020-03-06 04:36:30.931400
200             20037           2328.3496       2145.1638       2020-03-06 04:38:51.595621
201             20137           2221.2822       2095.3013       2020-03-06 04:41:17.747672
202             20236           2192.4331       2026.975        2020-03-06 04:43:32.573193
203             20336           2714.1631       2466.176        2020-03-06 04:46:04.769811
204             20435           2342.2986       2154.8621       2020-03-06 04:48:38.858635
205             20535           2060.197        1850.8514       2020-03-06 04:50:59.975846
206             20637           2078.6387       1895.3695       2020-03-06 04:53:37.854990
207             20738           1872.3206       1604.9071       2020-03-06 04:56:12.483282
208             20840           2159.0908       1872.8011       2020-03-06 04:58:43.843954
209             20940           2160.5708       1886.0016       2020-03-06 05:01:14.596105
210             21041           2417.24         2119.5149       2020-03-06 05:03:46.318258
